stop_name,lng,lat
ISTANA TERENGGANU,101.72295,3.15135
ISTANA TERENGGANU,101.7227,3.15087
MENARA RHB,101.72173,3.14411
MENARA RHB,101.72131,3.14383
MENARA PNB,101.72057,3.15781
MENARA PNB,101.72092,3.15836
IJN (BARAT),101.70984,3.1704
IJN (TIMUR),101.70888,3.17127
IJN (TIMUR),101.70988,3.17077
ISTANA BUDAYA,101.70502,3.17269
ISTANA BUDAYA,101.70568,3.17284
HOSPITAL KUALA LUMPUR (UTARA),101.70098,3.17344
LRT TITIWANGSA,101.69513,3.17273
KTM MIDVALLEY,101.67928,3.11977
VELODROM KL,101.72806,3.11042
VELODROM KL,101.72775,3.11056
KLINIK KESIHATAN CHERAS,101.72595,3.10658
KLINIK KESIHATAN CHERAS,101.72566,3.10659
UKM,101.72399,3.10345
UKM,101.72364,3.10327
KLFA FOOTBALL STADIUM,101.72273,3.10038
KLFA FOOTBALL STADIUM,101.72233,3.09977
KELAB RENANG CHERAS,101.72251,3.09829
KELAB RENANG CHERAS,101.72226,3.09858
INTERNATIONAL YOUTH CENTER (IYC),101.72288,3.09637
INTERNATIONAL YOUTH CENTER (IYC),101.7227,3.09601
INSTITUT LATIHAN DBKL (IDB),101.72305,3.0933
INSTITUT LATIHAN DBKL (IDB),101.72276,3.09316
FLAT SRI LABUAN,101.72157,3.09062
FLAT SRI LABUAN,101.72138,3.09067
PUSAT PENJAJA JLN JUJUR 3,101.7208,3.08794
PUSAT PENJAJA JLN JUJUR 4,101.72076,3.0878
MADRASAH MKARIMUL AKHLAK,101.72258,3.08782
MADRASAH MKARIMUL AKHLAK,101.72262,3.0877
RAMLY FACTORY,101.72321,3.08666
RAMLY FACTORY,101.72301,3.08586
LORONG MEWAH BDR TUN RAZAK,101.72181,3.08441
LORONG MEWAH BDR TUN RAZAK,101.7218,3.08451
LORONG IKHLAS BDR TUN RAZAK,101.71929,3.08465
LORONG IKHLAS BDR TUN RAZAK,101.71838,3.08492
LORONG MAKMUR BDR TUN RAZAK,101.71653,3.08558
LORONG MAKMUR BDR TUN RAZAK,101.71697,3.08542
TMN MULIA,101.71499,3.08785
FLAT TMN MULIA,101.71562,3.0884
FLAT TMN MULIA,101.71515,3.08809
DEWAN UMNO TMN MAKMUR,101.7158,3.08655
DEWAN UMNO TMN MAKMUR,101.71585,3.08629
CENDANA APARTMENT,101.71309,3.09848
CENDANA APARTMENT,101.71283,3.09867
SMK SERI TASIK,101.7123,3.09684
DESA SRI HARTAMAS,101.64764,3.16353
SK SERI TASIK,101.71054,3.0983
CENGAL CONDOMINIUM,101.70938,3.09889
CENGAL CONDOMINIUM,101.70984,3.09885
KTM SALAK SELATAN,101.70431,3.09938
POS SALAK SELATAN,101.70605,3.10324
LRT SALAK SELATAN,101.7064,3.10188
JPJ SRI PERMAISURI,101.70872,3.10291
BAYU TASIK 2 CONDOMINIUM,101.70903,3.10248
BAYU TASIK CONDOMINIUM,101.71134,3.10431
BAYU TASIK CONDOMINIUM,101.71126,3.10411
VILLA LAMAN TASIK,101.71205,3.1041
VILLA LAMAN TASIK,101.71201,3.10387
DATARAN DWISTASIK,101.71207,3.10001
QUEENSVILLE,101.71221,3.1018
QUEENSVILLE,101.71259,3.10193
VISTA TASIK,101.7159,3.10651
VISTA TASIK,101.71677,3.10732
FLAT SRI JOHOR,101.71931,3.11676
INDAH MAS APARTMENT,101.72189,3.11816
INDAH MAS APARTMENT,101.72165,3.11805
FLAT SRI PULAU PINANG,101.72423,3.11642
FLAT SRI PULAU PINANG,101.72435,3.11613
FLAT SRI SABAH,101.72633,3.11723
FLAT SRI SABAH,101.72621,3.1169
FLAT SRI MELAKA (TIMUR),101.7248,3.11097
FLAT SRI MELAKA (TIMUR),101.72469,3.11097
INSTITUT PENDIDIKAN GURU KAMPUS ILMU KHAS,101.72288,3.10865
INSTITUT PENDIDIKAN GURU KAMPUS ILMU KHAS,101.72285,3.10875
FLAT SRI MELAKA (BARAT),101.72172,3.10892
FLAT SRI MELAKA (BARAT),101.7218,3.1091
PASAR BESAR CHERAS,101.7238,3.11226
PASAR BESAR CHERAS,101.72369,3.11225
MASJID AZZUBAIR IBNUL AWWAM,101.72036,3.11423
MASJID AZZUBAIR IBNUL AWWAM,101.72044,3.11433
UNIT BERKUDA DBKL (UTARA),101.71713,3.09463
UNIT BERKUDA DBKL (UTARA),101.71712,3.09477
WISMA ZELAN,101.71769,3.09941
WISMA ZELAN,101.7178,3.09937
BALAI BOMBA TUN RAZAK,101.72242,3.08912
BALAI BOMBA TUN RAZAK,101.72248,3.08902
BANDAR TUN RAZAK (TIMUR),101.72638,3.09202
TMN MIDAH (SELATAN),101.72571,3.09025
BONIA TMN MIDAH,101.7239,3.0891
BONIA TMN MIDAH,101.72401,3.08923
KOMPLEKS DARUL PUTERI,101.72792,3.1167
KOMPLEKS DARUL PUTERI,101.72818,3.11666
STADIUM BADMINTON CHERAS,101.72808,3.11932
STADIUM BADMINTON CHERAS,101.72833,3.11929
LRT MALURI,101.72784,3.12326
LRT MALURI,101.72814,3.1235
SUNWAY VELOCITY,101.72353,3.12671
WARISAN CITY VIEW,101.72143,3.12796
WARISAN CITY VIEW,101.72224,3.1277
QUEENS AVENUE,101.72085,3.12841
QUEENS AVENUE,101.7205,3.12892
ALL SAINTS CHURCH,101.7198,3.12916
ALL SAINTS CHURCH,101.71859,3.13036
JUSCO TMN MALURI (BARAT),101.72725,3.125025
JUSCO TMN MALURI (BARAT),101.72638,3.1254
TMN MALURI (TIMUR),101.7323,3.1288
SJ401 -,101.64032,3.0491
TMN MALURI (TIMUR),101.73227,3.12908
SPRM KL,101.72985,3.13147
SPRM KL,101.72985,3.1317
(FOMERLY) SK COCHRANE,101.72761,3.13207
(FOMERLY) SK COCHRANE,101.7271,3.1324
PUSAT PERDAGANGAN TMN MALURI,101.73199,3.12958
PUSAT PERDAGANGAN TMN MALURI,101.7318,3.1297
WISMA SISTEM 2,101.73275,3.12826
WISMA SISTEM 2,101.7326,3.12829
(FOMERLY) SMK COCHRANE,101.72477,3.13281
(FOMERLY) SMK COCHRANE,101.72539,3.13286
PLAZA ELEKTRONIK,101.71677,3.13498
PLAZA ELEKTRONIK,101.7167,3.13518
KOMPLEKS E-MART,101.71485,3.13521
MASJID JAMEK ALAM SHAH,101.7186,3.13521
MASJID JAMEK ALAM SHAH,101.71915,3.1362
MRT COCHRANE,101.72197,3.13376
RAPID26,101.5833229,3.0254666
WISMA MALURI,101.73388,3.12888
KEPONG ENTREPRENEUR PARK,101.64508,3.21534
BULATAN KG PANDAN,101.72423,3.13759
BULATAN KG PANDAN,101.7225,3.13848
FLAT BUKIT CHERAS,101.74896,3.07308
FLAT BUKIT CHERAS,101.74935,3.07279
MIDPOINT LEN SENG,101.74643,3.07398
TMN SRI BAHAGIA,101.74961,3.05846
DEWAN SERBAGUNA TMN DESA BAKTI SELAYANG,101.6586,3.24081
DEWAN SERBAGUNA TMN DESA BAKTI SELAYANG,101.65852,3.2409
DAMAI PERDANA,101.74326,3.05487
DAMAI PERDANA,101.74332,3.05501
SERI PERINDU APARTMENT,101.7409,3.05503
AKED ESPLANADE,101.67616,3.06096
AKED ESPLANADE,101.6761,3.06074
SETIAWANGSA BUSINESS PARK,101.74308,3.17731
AEON SETIAWANGSA (UTARA),101.75036,3.17839
MSN SETIAWANGSA (UTARA),101.74871,3.17775
FLAT ATM SETIAWANGSA,101.745,3.17726
MASJID MU' ADZ BIN JABAL,101.73844,3.17761
SETIAWANGSA BUSINESS SUITE,101.74465,3.18014
SURAU AN-NUR TMN SETIAWANGSA,101.74041,3.18117
TMN SETIAWANGSA,101.74032,3.17872
HAB LEBUH PUDU (LP),101.69808,3.14687
M-AVENUE (SELATAN),101.65649,3.18523
M-AVENUE (SELATAN),101.65655,3.18505
KG SEGAMBUT BAHAGIA (BARAT),101.65828,3.18574
KG SEGAMBUT BAHAGIA (BARAT),101.65827,3.1856
KG SEGAMBUT BAHAGIA (TIMUR),101.660742,3.186622
KTM SEGAMBUT,101.66505,3.18742
SMK SEGAMBUT,101.66708,3.18711
SMK SEGAMBUT,101.66697,3.18695
MASJID AL-FIRDAUS,101.66909,3.18805
MASJID AL-FIRDAUS,101.66898,3.18807
SRJK(C) KHAI CHEE,101.66926,3.18566
SRJK(C) KHAI CHEE,101.66983,3.18497
NAN YANG GONG TEMPLE SEGAMBUT,101.67273,3.18397
NAN YANG GONG TEMPLE SEGAMBUT,101.67246,3.18381
MENARA TKSS,101.67635,3.18322
TMN SEGAMBUT (BARAT),101.67466,3.18303
FORTUNE AVENUE KEPONG,101.64423,3.21593
KLINIK KESIHATAN IBU & ANAK SEGAMBUT,101.65426,3.18256
KLINIK KESIHATAN IBU & ANAK SEGAMBUT,101.65422,3.1824
SEGAMBUT (SELATAN),101.65466,3.18285
SEGAMBUT (SELATAN),101.65492,3.18292
TMN BIMBINGAN KANAK-KANAK KG SEGAMBUT TENGAH,101.65577,3.18397
TMN BIMBINGAN KANAK-KANAK KG SEGAMBUT TENGAH,101.65585,3.1839
TMN USAHAWAN KEPONG,101.64223,3.21486
KTM TMN WAHYU (BARAT),101.67176,3.2148
KTM TMN WAHYU (BARAT),101.67203,3.2149
RAPID27,101.5846945,3.0271929
SRI UTARA (SELATAN),101.67164,3.22231
TMN SRI SELAYANG,101.67165,3.23554
WARTA LAMA,101.66282,3.24304
WARTA LAMA,101.66371,3.24326
TMN SRI SEGAMBUT (TIMUR),101.65894,3.19948
KUIL SRI MAHA MARIAMMAN TMN SRI SEGAMBUT (BARAT),101.65965,3.19799
TMN ESPLANAD (BARAT),101.67815,3.06026
TMN ESPLANAD (BARAT),101.6781,3.06005
TMN ESPLANAD (TIMUR),101.68093,3.05959
